id,opened,closed,kind,side,long,short,qty,entry_debit,exit_debit,exit_rule,pnl_dollars
p1,2026-01-02T17:20:00.000Z,2026-01-02T17:45:00.000Z,long_option,SHORT,QQQ260102P00613000,,12,0.70,1.40,target,824.40
p2,2026-01-02T17:45:00.000Z,2026-01-02T18:15:00.000Z,long_option,SHORT,QQQ260102P00612000,,12,0.73,0.43,premium_stop,-375.60
p3,2026-01-02T18:25:00.000Z,2026-01-02T18:45:00.000Z,long_option,SHORT,QQQ260102P00612000,,13,0.63,1.40,target,984.10
p4,2026-01-02T18:45:00.000Z,2026-01-02T19:00:00.000Z,long_option,SHORT,QQQ260102P00611000,,13,0.67,0.22,premium_stop,-601.90
p5,2026-01-05T16:45:00.000Z,2026-01-05T16:50:00.000Z,long_option,LONG,QQQ260105C00621000,,17,0.50,0.28,premium_stop,-396.10
p6,2026-01-05T18:50:00.000Z,2026-01-05T19:40:00.000Z,long_option,SHORT,QQQ260105P00619000,,11,0.73,1.63,target,975.70
p7,2026-01-07T15:25:00.000Z,2026-01-07T16:00:00.000Z,long_option,LONG,QQQ260107C00625000,,12,0.72,1.43,target,836.40
p8,2026-01-07T18:45:00.000Z,2026-01-07T18:55:00.000Z,long_option,LONG,QQQ260107C00627000,,12,0.76,0.45,premium_stop,-387.60
p9,2026-01-08T15:30:00.000Z,2026-01-08T17:40:00.000Z,long_option,SHORT,QQQ260108P00620000,,13,0.70,0.45,premium_stop,-341.90
p10,2026-01-08T18:10:00.000Z,2026-01-08T18:15:00.000Z,long_option,SHORT,QQQ260108P00619000,,18,0.50,0.16,premium_stop,-635.40
p11,2026-01-09T15:20:00.000Z,2026-01-09T15:30:00.000Z,long_option,LONG,QQQ260109C00623000,,8,1.08,2.15,target,845.60
p12,2026-01-09T15:55:00.000Z,2026-01-09T16:05:00.000Z,long_option,LONG,QQQ260109C00624000,,13,0.66,1.71,target,1348.10
p13,2026-01-09T18:25:00.000Z,2026-01-09T18:35:00.000Z,long_option,LONG,QQQ260109C00626000,,16,0.59,1.20,target,955.20
p14,2026-01-12T15:50:00.000Z,2026-01-12T18:00:00.000Z,long_option,LONG,QQQ260112C00626000,,10,0.90,1.90,target,987.00
p15,2026-01-12T19:15:00.000Z,2026-01-12T20:20:00.000Z,long_option,LONG,QQQ260112C00628000,,18,0.56,0.32,premium_stop,-455.40
